pelagios_temp_id;maphist_label;recogito_mapping;recogito_gazetteer_label;lat;lng;recogito_status;modified_by;modified_at;
805-1505;[poio de la] conestabile;;;;;NO_SUITABLE_MATCH;pau;2015-01-26T19:36:40+0100;
806-1508;bodrom / uadro;http://www.wikidata.org/wiki/Q3285145;BATROUN;34.25;35.65;VERIFIED;pau;2015-01-26T19:36:52+0100;
807-1510;gibilleto;http://www.wikidata.org/wiki/Q173532;GIBELLO;34.1167;35.65;VERIFIED;pau;2015-01-26T19:37:06+0100;
808-1511;[flum] canis;http://www.wikidata.org/wiki/Q1963736;;33.95;35.6;VERIFIED;pau;2015-01-26T19:37:48+0100;
809-1513;BARUTI;http://www.wikidata.org/wiki/Q3820;बेय्रुत;33.8869;35.5131;VERIFIED;pau;2015-01-26T19:38:05+0100;
810-1514;damor;http://www.wikidata.org/wiki/Q1158931;DAMUR;33.7333;35.45;VERIFIED;pau;2015-01-26T19:38:14+0100;
811-1515;saito;http://www.wikidata.org/wiki/Q163490;;33.5606;35.3981;VERIFIED;pau;2015-01-26T19:38:31+0100;
812-1516;sarafendi;http://www.wikidata.org/wiki/Q3473299;SARAFAND;33.4517;35.2908;VERIFIED;pau;2015-01-26T19:38:44+0100;
813-1517;SUR;http://www.wikidata.org/wiki/Q82070;TYRUS;33.2667;35.2;VERIFIED;pau;2015-01-26T19:38:54+0100;
814-1518;c.bianco;;;;;NO_SUITABLE_MATCH;pau;2015-01-26T19:39:10+0100;
815-1519;ACRI;http://www.wikidata.org/wiki/Q126084;AKKO;32.9261;35.0839;VERIFIED;pau;2015-01-26T19:39:24+0100;
816-1521;carmene;http://www.wikidata.org/wiki/Q185318;KARMEL;32.6725;35.0233;VERIFIED;pau;2015-01-26T19:39:54+0100;
817-1522;castel pelegrin;http://www.wikidata.org/wiki/Q757398;ATLIT;32.6872;34.9383;VERIFIED;pau;2015-01-26T19:40:05+0100;
818-1523;cesaria;http://www.wikidata.org/wiki/Q5017022;CAESAREA OBELISK;32.4986;34.8986;VERIFIED;pau;2015-01-26T19:40:37+0100;
819-1524;arcuffo;http://www.wikidata.org/wiki/Q2890227;ARSUF;32.2276;34.8646;VERIFIED;pau;2015-01-26T19:40:54+0100;
820-1525;JAFFA / zaffo;http://www.wikidata.org/wiki/Q180294;JAFA;32.0544;34.7517;VERIFIED;pau;2015-01-26T19:44:04+0100;
821-1526;castel beroardo;http://www.wikidata.org/wiki/Q1068119;CHASTEL BÉROARD;31.7804;34.6216;VERIFIED;pau;2015-01-26T19:44:16+0100;
822-1527;SCALONA;http://www.wikidata.org/wiki/Q60956;AŠKELONAS;31.6658;34.5664;VERIFIED;pau;2015-01-26T19:44:26+0100;
823-1528;gazara;http://www.wikidata.org/wiki/Q47492;GAZA;31.5167;34.45;VERIFIED;pau;2015-01-26T19:44:35+0100;
824-1529;darom;http://www.wikidata.org/wiki/Q557383;DEIR EL-BALAH;31.419;34.3516;VERIFIED;pau;2015-01-26T19:44:45+0100;
825-1530;berto;;;;;NO_SUITABLE_MATCH;pau;2015-01-26T19:44:58+0100;
826-1533;g.de larissa;http://www.wikidata.org/wiki/Q238452;EL-ARISH;31.1333;33.8;VERIFIED;pau;2015-01-26T19:45:07+0100;
827-1539;stagnom;http://www.wikidata.org/wiki/Q2918989;;31.1906;33.1622;VERIFIED;pau;2015-01-26T19:45:21+0100;
828-1540;rasalcasaro;http://www.wikidata.org/wiki/Q1734973;KASION;31.2182;33.0777;VERIFIED;pau;2015-01-26T19:45:56+0100;
829-1541;faramida;http://www.wikidata.org/wiki/Q1145715;PELUSION;31.05;32.6;VERIFIED;pau;2015-01-26T19:41:48+0100;
830-1542;tenes;http://pleiades.stoa.org/places/727190;Pelousiakos Kolpos;31.25;32.75;VERIFIED;pau;2015-01-26T19:43:22+0100;
831-1545;DAMIATA;http://www.wikidata.org/wiki/Q189383;DIMYĀṬ;31.4167;31.8167;VERIFIED;pau;2015-01-26T19:42:21+0100;
832-1546;flume damiata;http://www.wikidata.org/wiki/Q189383;DIMYĀṬ;31.4167;31.8167;VERIFIED;pau;2015-01-27T17:45:16+0100;
833-1547;c.brule;http://www.wikidata.org/wiki/Q3780547;BUHAYRAT NASTARAWA;31.4833;30.8667;VERIFIED;pau;2015-01-27T17:45:44+0100;
834-1548;sturio / storione [=estuary?];;;;;NO_SUITABLE_MATCH;pau;2015-01-27T17:46:20+0100;
